Banco,Data operação,Tipo de ativo,Nome ativo,C/V,Preço operação,Qnt,Valor total,Preço médio,Lucro,Imposto,Observação,F sup
Nuinvest,07/06/2024,FII,ALZR11,C,"R$ 107,43",2,"R$ 214,86",,,,,"R$ 0,00"
Inter,07/06/2024,FII,ALZR11,C,"R$ 107,43",1,"R$ 107,43",,,,,"R$ 0,00"
Inter,07/06/2024,Tesouro,LFTS11,C,"R$ 120,19",8,"R$ 961,52",,,,,"R$ 0,00"
Nuinvest,28/05/2024,Tesouro,LFTS11,C,"R$ 119,86",40,"R$ 4.794,40",,,,,"R$ 0,00"
Nuinvest,20/05/2024,Tesouro,LFTS11,V,"R$ 119,59",42,"R$ 5.022,78","R$ 116,05","R$ 148,85",,,"R$ 4.873,93"
Nuinvest,20/05/2024,Ação,SLCE3,V,"R$ 18,57",54,"R$ 1.002,78","R$ 19,48","-R$ 49,14","-R$ 7,37",,"R$ 1.051,92"
Nuinvest,20/05/2024,USD,SPXI11,V,"R$ 294,18",3,"R$ 882,54","R$ 225,51","R$ 206,01","R$ 30,90",,"R$ 676,53"
Nuinvest,20/05/2024,Tesouro,Prefixado 2029,V,"R$ 602,43","3,41","R$ 2.054,29","R$ 551,13","R$ 174,94",,,"R$ 1.879,34"
Nuinvest,15/05/2024,Tesouro,Prefixado 2029,V,"R$ 606,37","5,06","R$ 3.068,23","R$ 551,13","R$ 279,53",,,"R$ 2.788,70"
Inter,13/05/2024,FII,HGRU11,V,"R$ 129,26",7,"R$ 904,82","R$ 139,27","-R$ 70,07","-R$ 14,01",,"R$ 974,89"
Inter,13/05/2024,FII,ALZR11,C,"R$ 112,88",3,"R$ 338,64",,,,,"R$ 0,00"
Nuinvest,13/05/2024,FII,ALZR11,C,"R$ 112,89",6,"R$ 677,34",,,,,"R$ 0,00"
Nuinvest,13/05/2024,FII,HSML11,V,"R$ 97,09",21,"R$ 2.038,89","R$ 92,80","R$ 90,14","R$ 18,03",,"R$ 1.948,75"
Nuinvest,09/05/2024,Tesouro,Prefixado 2029,V,"R$ 602,58","2,08","R$ 1.253,37","R$ 551,13","R$ 107,02",,,"R$ 1.146,34"
Inter,09/05/2024,Ação,SUZB3,C,"R$ 52,62",7,"R$ 368,34",,,,,"R$ 0,00"
Inter,09/05/2024,Ação,BBAS3,C,"R$ 27,23",12,"R$ 326,76",,,,,"R$ 0,00"
Inter,08/05/2024,USD,BIL,C,"R$ 465,84",3,"R$ 1.397,51",,,,,"R$ 0,00"
Inter,08/05/2024,USD,IBIT,C,"R$ 181,41",7,"R$ 1.269,85",,,,,"R$ 0,00"
Inter,02/05/2024,Ação,ROMI3,C,"R$ 10,32",30,"R$ 309,60",,,,,"R$ 0,00"
